name,week,population,deaths,confirmed,recovered,active,hospitalized,hospitalization rate,"AS, NA - HR","US, HI - HR","GU, NA - HR","MP, NA - HR","US, AK - HR","US, CA - HR","PR, NA - HR","US, AL - HR","US, AR - HR","US, AZ - HR","US, CO - HR","US, CT - HR","US, DC - HR","US, FL - HR","US, GA - HR","US, IA - HR","US, IL - HR","US, IN - HR","US, KY - HR","US, LA - HR","US, MA - HR","US, MD - HR","US, MI - HR","US, MN - HR","US, MO - HR","US, NC - HR","US, NE - HR","US, NH - HR","US, NJ - HR","US, NM - HR","US, NV - HR","US, NY - HR","US, OH - HR","US, OR - HR","US, PA - HR","US, RI - HR","US, TN - HR","US, TX - HR","US, VA - HR","US, WI - HR","VI, NA - HR","US, MT - HR","US, OK - HR","US, SC - HR","US, UT - HR","US, WA - HR","US, ME - HR","US, MS - HR","US, WV - HR","US, ID - HR","US, KS - HR","US, ND - HR","US, SD - HR","US, WY - HR","US, VT - HR","US, DE - HR"
"US, HI",1,1415872,0,0,0,0,0,0.0
"US, HI",2,1415872,0,0,0,0,0,0.0
"US, HI",3,1415872,0,0,0,0,0,0.0
"US, HI",4,1415872,0,0,0,0,0,0.0
"US, HI",5,1415872,0,0,0,0,0,0.0
"US, HI",6,1415872,0,0,0,0,0,0.0
"US, HI",7,1415872,27,1514,925,1487,132,1.8684543940113376
"US, HI",8,1415872,178,8748,6478,8570,867,10.567117645531747
"US, HI",9,1415872,252,9414,8246,916,1136,12.923024151674614
"US, HI",10,1415872,255,9642,8737,650,1240,13.7789314944572
"US, HI",11,1415872,255,10092,9217,620,1257,13.35250156181369
"US, HI",12,1415872,257,12056,9883,1916,1478,13.134206663111703
"US, HI",13,1415872,284,15832,11789,3759,1779,12.123513808503528
"US, HI",14,1415872,366,21992,15878,5748,2220,10.853113310130317
"US, HI",15,1415872,438,42431,20740,21253,3146,8.148550855868269
"US, HI",16,1415872,672,88346,29826,57848,4990,6.050364449892608
"US, HI",17,1415872,1187,139505,41621,96697,0,0.0
"US, HI",18,1415872,1709,169266,65690,101867,0,0.0
"US, HI",19,1415872,2271,191798,156177,33350,0,0.0
"US, HI",20,1415872,2897,211550,165840,42813,0,0.0
"US, HI",21,1415872,1078,74592,57992,15522,0,0.0
"US, AK",1,731545,0,0,0,0,0,0.0
"US, AK",2,731545,0,0,0,0,0,0.0
"US, AK",3,731545,0,0,0,0,0,0.0
"US, AK",4,731545,0,0,0,0,0,0.0
"US, AK",5,731545,0,0,0,0,0,0.0
"US, AK",6,731545,0,0,0,0,0,0.0
"US, AK",7,731545,25,834,249,809,95,2.441248255028364
"US, AK",8,731545,135,4926,2706,4791,442,9.80117466567201
"US, AK",9,731545,144,5610,4430,1027,0,0.0
