name,Betweenness Centrality
"AS, NA",0.0
"US, HI",1523267.4045943026
"GU, NA",0.0024415077063435283
"MP, NA",0.0
"US, AK",625268.4373840062
"US, CA",255.31032554738056
"PR, NA",89.18245244617067
"US, AL",18848.803019776013
"US, AR",33.89235390343819
"US, AZ",42.60277050556719
"US, CO",0.0
"US, CT",182573.15959229783
"US, DC",0.0001736811087869884
"US, FL",9942.066631887823
"US, GA",0.0
"US, IA",74.44846555417632
"US, IL",0.0
"US, IN",38.09160263064326
"US, KY",929.0723765707709
"US, LA",91.805639032214
"US, MA",1.6132412814062898
"US, MD",22.418941511504368
"US, MI",1.9600453861439306
"US, MN",0.45708958645855996
"US, MO",0.6188029182964098
"US, NC",0.0
"US, NE",61.81377610753481
"US, NH",10848.350822995491
"US, NJ",0.6561510972444607
"US, NM",1271.890167378526
"US, NV",0.0004518615724981427
"US, NY",1.3211210435986578
"US, OH",2341.1208771524252
"US, OR",2.214889811591417
"US, PA",0.025801489949558342
"US, RI",15015.734370033459
"US, TN",74.95062878043345
"US, TX",0.0
"US, VA",5.3253167779873385
"US, WI",0.9219338882763415
"VI, NA",1.8685042859727297
"US, MT",53.211282066346776
"US, OK",49.519483124718626
"US, SC",9.03853913303035
"US, UT",29.221952319565073
"US, WA",0.026436167072636303
"US, ME",145.61456923135643
"US, MS",38.48553343757554
"US, WV",307.5071379970784
"US, ID",680.9048799394558
"US, KS",7734.685032616113
"US, ND",3.2297992220746456
"US, SD",79.90528410801782
"US, WY",41.264333944342376
"US, VT",1.1179273198750306
"US, DE",0.0
