"","origin_ID","dest_ID","ID","Prediction","date"
"1","US, UT","US, MI","US, UT-US, MI",596,2020-01-01
"2","US, UT","US, MI","US, UT-US, MI",597,2020-01-02
"3","US, UT","US, MI","US, UT-US, MI",597,2020-01-03
"4","US, UT","US, MI","US, UT-US, MI",597,2020-01-04
"5","US, UT","US, MI","US, UT-US, MI",597,2020-01-05
"6","US, UT","US, MI","US, UT-US, MI",598,2020-01-06
"7","US, UT","US, MI","US, UT-US, MI",598,2020-01-07
"8","US, UT","US, MI","US, UT-US, MI",599,2020-01-08
"9","US, UT","US, MI","US, UT-US, MI",600,2020-01-09
"10","US, UT","US, MI","US, UT-US, MI",601,2020-01-10
"11","US, UT","US, MI","US, UT-US, MI",602,2020-01-11
"12","US, UT","US, MI","US, UT-US, MI",603,2020-01-12
"13","US, UT","US, MI","US, UT-US, MI",604,2020-01-13
"14","US, UT","US, MI","US, UT-US, MI",605,2020-01-14
"15","US, UT","US, MI","US, UT-US, MI",606,2020-01-15
"16","US, UT","US, MI","US, UT-US, MI",608,2020-01-16
"17","US, UT","US, MI","US, UT-US, MI",609,2020-01-17
"18","US, UT","US, MI","US, UT-US, MI",611,2020-01-18
"19","US, UT","US, MI","US, UT-US, MI",612,2020-01-19
"20","US, UT","US, MI","US, UT-US, MI",614,2020-01-20
"21","US, UT","US, MI","US, UT-US, MI",616,2020-01-21
"22","US, UT","US, MI","US, UT-US, MI",618,2020-01-22
"23","US, UT","US, MI","US, UT-US, MI",620,2020-01-23
"24","US, UT","US, MI","US, UT-US, MI",622,2020-01-24
"25","US, UT","US, MI","US, UT-US, MI",624,2020-01-25
"26","US, UT","US, MI","US, UT-US, MI",627,2020-01-26
"27","US, UT","US, MI","US, UT-US, MI",629,2020-01-27
"28","US, UT","US, MI","US, UT-US, MI",632,2020-01-28
"29","US, UT","US, MI","US, UT-US, MI",634,2020-01-29
"30","US, UT","US, MI","US, UT-US, MI",637,2020-01-30
"31","US, UT","US, MI","US, UT-US, MI",640,2020-01-31
"32","US, UT","US, MI","US, UT-US, MI",643,2020-02-01
"33","US, UT","US, MI","US, UT-US, MI",645,2020-02-02
"34","US, UT","US, MI","US, UT-US, MI",647,2020-02-03
"35","US, UT","US, MI","US, UT-US, MI",649,2020-02-04
"36","US, UT","US, MI","US, UT-US, MI",650,2020-02-05
"37","US, UT","US, MI","US, UT-US, MI",651,2020-02-06
"38","US, UT","US, MI","US, UT-US, MI",651,2020-02-07
"39","US, UT","US, MI","US, UT-US, MI",651,2020-02-08
"40","US, UT","US, MI","US, UT-US, MI",651,2020-02-09
"41","US, UT","US, MI","US, UT-US, MI",650,2020-02-10
"42","US, UT","US, MI","US, UT-US, MI",649,2020-02-11
"43","US, UT","US, MI","US, UT-US, MI",648,2020-02-12
"44","US, UT","US, MI","US, UT-US, MI",646,2020-02-13
