"","origin_ID","dest_ID","ID","Prediction","date"
"87","US, IL","US, TN","US, IL-US, TN",0,2020-03-27
"88","US, IL","US, TN","US, IL-US, TN",0,2020-03-28
"89","US, IL","US, TN","US, IL-US, TN",0,2020-03-29
"90","US, IL","US, TN","US, IL-US, TN",0,2020-03-30
"91","US, IL","US, TN","US, IL-US, TN",0,2020-03-31
"92","US, IL","US, TN","US, IL-US, TN",0,2020-04-01
"93","US, IL","US, TN","US, IL-US, TN",0,2020-04-02
"94","US, IL","US, TN","US, IL-US, TN",0,2020-04-03
"95","US, IL","US, TN","US, IL-US, TN",0,2020-04-04
"96","US, IL","US, TN","US, IL-US, TN",0,2020-04-05
"97","US, IL","US, TN","US, IL-US, TN",0,2020-04-06
"98","US, IL","US, TN","US, IL-US, TN",0,2020-04-07
"99","US, IL","US, TN","US, IL-US, TN",0,2020-04-08
"100","US, IL","US, TN","US, IL-US, TN",0,2020-04-09
"101","US, IL","US, TN","US, IL-US, TN",0,2020-04-10
"102","US, IL","US, TN","US, IL-US, TN",0,2020-04-11
"103","US, IL","US, TN","US, IL-US, TN",0,2020-04-12
"104","US, IL","US, TN","US, IL-US, TN",0,2020-04-13
"105","US, IL","US, TN","US, IL-US, TN",0,2020-04-14
"106","US, IL","US, TN","US, IL-US, TN",0,2020-04-15
"107","US, IL","US, TN","US, IL-US, TN",0,2020-04-16
"108","US, IL","US, TN","US, IL-US, TN",0,2020-04-17
"109","US, IL","US, TN","US, IL-US, TN",0,2020-04-18
"110","US, IL","US, TN","US, IL-US, TN",0,2020-04-19
"111","US, IL","US, TN","US, IL-US, TN",1,2020-04-20
"112","US, IL","US, TN","US, IL-US, TN",3,2020-04-21
"113","US, IL","US, TN","US, IL-US, TN",6,2020-04-22
"114","US, IL","US, TN","US, IL-US, TN",8,2020-04-23
"115","US, IL","US, TN","US, IL-US, TN",11,2020-04-24
"116","US, IL","US, TN","US, IL-US, TN",13,2020-04-25
"117","US, IL","US, TN","US, IL-US, TN",16,2020-04-26
"118","US, IL","US, TN","US, IL-US, TN",19,2020-04-27
